From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Line,Line R (pu),Line X (pu),Charging B (pu),Length,r,x,b,l,c,z,y,,
2561,PANNI-D-2   220.00,2970,PADUKKA_2   220.00,2,36,0.001517,0.012134,0.037478,15.2,0.048304474,121.5799604,0.14919689,0.387001034,0.000474908,0.0483044736842105+2.43159920896506i,0.00298393780243422i,,
2570,BIYAG-2     220.00,2580,KOTUG-2     220.00,1,37,0.00308,0.01567,0.02832,19.6,0.076057143,99.71818182,0.137456176,0.317412831,0.000437537,0.0760571428571429+1.99436363636364i,0.00274912352994804i,,
2570,BIYAG-2     220.00,2580,KOTUG-2     220.00,2,38,0.00308,0.01567,0.02832,19.6,0.076057143,99.71818182,0.137456176,0.317412831,0.000437537,0.0760571428571429+1.99436363636364i,0.00274912352994804i,,
2580,KOTUG-2     220.00,2830,VEYAN-2     220.00,1,39,0.001343,0.010744,0.033184,17,0.038236,136,0.118096,0.432901445,0.000375911,0.038236+2.72i,0.00236192i,,
2580,KOTUG-2     220.00,2830,VEYAN-2     220.00,2,40,0.001343,0.010744,0.033184,17,0.038236,136,0.118096,0.432901445,0.000375911,0.038236+2.72i,0.00236192i,,
2691,NHAB-2      220.00,2705,NEWANU-2    220.00,1,41,0.00785,0.04,0.07225,50,0.075988,254.7770701,0.137253325,0.810980602,0.000436891,0.075988+5.09554140127389i,0.0027450665i,,
2705,NEWANU-2    220.00,2810,PUTTALAM-PS 220.00,1,42,0.009019,0.063492,0.185311,100,0.04365196,703.9804856,0.127404844,2.240839483,0.000405542,0.04365196+14.0796097128285i,0.00254809688135828i,,
2705,NEWANU-2    220.00,2810,PUTTALAM-PS 220.00,2,43,0.009019,0.063492,0.185311,100,0.04365196,703.9804856,0.127404844,2.240839483,0.000405542,0.04365196+14.0796097128285i,0.00254809688135828i,,
2810,PUTTALAM-PS 220.00,2815,NCHILAW-2   220.00,1,44,0.004304,0.04478,0.144367,74,0.028150486,769.9163569,0.09075483,2.450719879,0.000288882,0.0281504864864865+15.3983271375465i,0.00181509659785377i,,
2810,PUTTALAM-PS 220.00,2815,NCHILAW-2   220.00,2,45,0.004304,0.04478,0.144367,74,0.028150486,769.9163569,0.09075483,2.450719879,0.000288882,0.0281504864864865+15.3983271375465i,0.00181509659785377i,,
2815,NCHILAW-2   220.00,2830,VEYAN-2     220.00,1,46,0.003878,0.027302,0.079684,43,0.043650047,302.7297576,0.127397638,0.963618747,0.000405519,0.0436500465116279+6.05459515214028i,0.00254795275527988i,,
2815,NCHILAW-2   220.00,2830,VEYAN-2     220.00,2,47,0.003878,0.027302,0.079684,43,0.043650047,302.7297576,0.127397638,0.963618747,0.000405519,0.0436500465116279+6.05459515214028i,0.00254795275527988i,,
