From_Bus_Number,From_Bus_Name,To_Bus_Number,To_Bus_Name,Line_ID,Length_km,Harmonic_Order,Z0_magnitude,Z0_angle_deg,S11_magnitude,S11_angle_deg,S12_magnitude,S12_angle_deg,S21_magnitude,S21_angle_deg,S22_magnitude,S22_angle_deg,A_real,A_imag,B_real,B_imag,C_real,C_imag,D_real,D_imag
2220,KOTMA-2     220.00,2570,BIYAG-2     220.00,11,70.5,11,69.49074741375358,-0.00873200475463745,0.8394280687826844,-161.8079913327482,0.5212389664281437,-70.99085373170229,0.5212389664281436,-70.99085373170229,0.8394280687826845,-161.8079913327482,0.5991827088700562,0.015448724025662802,0.8116939989833787,55.65117852959351,0.00016457592926482782,0.011524505800326828,0.5991827088700562,0.015448724025662802
2220,KOTMA-2     220.00,2570,BIYAG-2     220.00,12,70.5,11,69.49074741375358,-0.00873200475463745,0.8394280687826844,-161.8079913327482,0.5212389664281437,-70.99085373170229,0.5212389664281436,-70.99085373170229,0.8394280687826845,-161.8079913327482,0.5991827088700562,0.015448724025662802,0.8116939989833787,55.65117852959351,0.00016457592926482782,0.011524505800326828,0.5991827088700562,0.015448724025662802
2220,KOTMA-2     220.00,2691,NHAB-2      220.00,13,113.0,11,64.772524270969,-0.01718292838561122,0.85953943437427,-168.284978181713,0.44375903273730954,-76.34730619096085,0.4437590327373094,-76.34730619096085,0.85953943437427,-168.284978181713,0.4596874556533045,0.05893906677773775,1.987889491354854,57.682851687224314,0.00046557036633956784,0.013749090690708843,0.4596874556533045,0.05893906677773775
2220,KOTMA-2     220.00,2691,NHAB-2      220.00,14,113.0,11,64.772524270969,-0.01718292838561122,0.85953943437427,-168.284978181713,0.44375903273730954,-76.34730619096085,0.4437590327373094,-76.34730619096085,0.85953943437427,-168.284978181713,0.4596874556533045,0.05893906677773775,1.987889491354854,57.682851687224314,0.00046557036633956784,0.013749090690708843,0.4596874556533045,0.05893906677773775
2222,BARGE-2     220.00,2300,KELAN-2     220.00,15,2.0,11,4.15905737821238,-0.06565129909780171,0.9984701865867115,177.660202798249,0.04955448637874745,-92.64779588836291,0.04955448637874745,-92.64779588836291,0.9984701865867116,177.660202798249,-0.8238961338930189,0.0016488446405856117,-0.007268232366050898,2.3571485344106122,-0.0007324647286326186,0.13626769729593968,-0.8238961338930189,0.0016488446405856117
2230,VICTO-2     220.00,2240,RANDE-2     220.00,16,16.4,11,33.494042176726545,-0.037603480107294106,0.9725336106893904,179.17936181672093,0.22357175619123448,-90.8935839894367,0.22357175619123443,-90.8935839894367,0.9725336106893904,179.17936181672093,-0.06422368907747857,0.009301360151370796,0.0018890944090456108,33.42635847077504,-3.7426219097304824e-05,0.029795700397070232,-0.06422368907747857,0.009301360151370796
2240,RANDE-2     220.00,2250,RANTE-2     220.00,17,3.1,11,14.782655084848223,-0.19273109671585623,0.9938019841595521,-177.5661323313272,0.10824834157185918,-87.66391252531122,0.10824834157185918,-87.66391252531122,0.9938019841595519,-177.5661323313272,0.39198804958416844,0.003614532722962027,0.06851312102407253,13.599574262256382,-0.00010515878856243246,0.06223365619776207,0.39198804958416844,0.003614532722962027
2245,VAVUNIYA-2  220.00,2280,MANNAR-2    220.00,18,70.0,11,50.978006934521474,-0.027741277687720063,0.8928589789302289,-166.60435777439076,0.39250179361915866,-74.44507552562692,0.39250179361915866,-74.44507552562692,0.8928589789302289,-166.60435777439076,0.5921166833056974,0.04209213473956284,1.5932864929359902,41.16605348542765,0.0005977559100421042,0.01584125565513296,0.5921166833056974,0.04209213473956284
2245,VAVUNIYA-2  220.00,2280,MANNAR-2    220.00,19,70.0,11,50.978006934521474,-0.027741277687720063,0.8928589789302289,-166.60435777439076,0.39250179361915866,-74.44507552562692,0.39250179361915866,-74.44507552562692,0.8928589789302289,-166.60435777439076,0.5921166833056974,0.04209213473956284,1.5932864929359902,41.16605348542765,0.0005977559100421042,0.01584125565513296,0.5921166833056974,0.04209213473956284
2245,VAVUNIYA-2  220.00,2705,NEWANU-2    220.00,20,55.0,11,61.039189910782675,-0.01131591586531186,0.8325863553482316,156.96638706924847,0.5309991407139117,65.87754466330048,0.5309991407139117,65.87754466330048,0.8325863553482317,156.96638706924847,0.7372701038682746,-0.011640804754601263,0.7670083226778154,-41.25151772402618,0.00021023840441034442,-0.011071824312958885,0.7372701038682746,-0.011640804754601263
