A_11,B_11,C_11,D_11,From Bus  Number,To Bus  Number
(-1.00006979543022+0.00021595270542752149j),(-1.0514527337776076+0.7652783257641231j),(-0.0002822133009950442+0.00020539566491900178j),(-1.00006979543022+0.00021595270542752149j),2245,2705
(-1.00006979543022+0.00021595270542752149j),(-1.0514527337776076+0.7652783257641231j),(-0.0002822133009950442+0.00020539566491900178j),(-1.00006979543022+0.00021595270542752149j),2245,2705
(0.8208958616424711+0.007267001188483866j),(0.4712014650201592+25.75082568472836j),(0.0002314586399860945+0.012671122133699208j),(0.8208958616424711+0.007267001188483866j),2280,2281
(0.8208958616424711+0.007267001188483866j),(0.4712014650201592+25.75082568472836j),(0.0002314586399860945+0.012671122133699208j),(0.8208958616424711+0.007267001188483866j),2280,2281
(-0.7042676062721339-0.010921397704461185j),(-0.22945179861737197-14.970893771919236j),(-0.0005113167181565148-0.03368160551442741j),(-0.7042676062721339-0.010921397704461185j),2300,2570
(-0.7042676062721339-0.010921397704461185j),(-0.22945179861737197-14.970893771919236j),(-0.0005113167181565148-0.03368160551442741j),(-0.7042676062721339-0.010921397704461185j),2300,2570
(0.6508006807184109+0.0014317767794028333j),(0.003114536778265776+1.6563761915842505j),(0.000470703946716047+0.3480260057557289j),(0.6508006807184109+0.0014317767794028333j),2305,2306
(0.6508006807184109+0.0014317767794028333j),(0.003114536778265776+1.6563761915842505j),(0.000470703946716047+0.3480260057557289j),(0.6508006807184109+0.0014317767794028333j),2305,2306
(-0.9584376334947722-0.0028064258373147995j),(-0.10672154186587308-3.232443244996745j),(-0.0008318735542832007-0.02521125705189403j),(-0.9584376334947722-0.0028064258373147995j),2305,2350
(0.9069092278545537+0.004153117415591901j),(0.31246988897319855+14.716368256654777j),(0.000255618927821159+0.012069062892212112j),(0.9069092278545537+0.004153117415591901j),2306,2580
(0.9069092278545537+0.004153117415591901j),(0.31246988897319855+14.716368256654777j),(0.000255618927821159+0.012069062892212112j),(0.9069092278545537+0.004153117415591901j),2306,2580
(0.8906923089338261+0.004423320761675599j),(0.30497796290076135+15.983268137643243j),(0.0002461572226615321+0.012936143429518824j),(0.8906923089338261+0.004423320761675599j),2307,2580
(0.8906923089338261+0.004423320761675599j),(0.30497796290076135+15.983268137643243j),(0.0002461572226615321+0.012936143429518824j),(0.8906923089338261+0.004423320761675599j),2307,2580
(-0.8153951302859311+0.009427990108092699j),(-0.36385451607855585+15.925315660536116j),(-0.0004842666352660992+0.021060547762756534j),(-0.8153951302859311+0.009427990108092699j),2560,2570
(-0.8153951302859311+0.009427990108092699j),(-0.36385451607855585+15.925315660536116j),(-0.0004842666352660992+0.021060547762756534j),(-0.8153951302859311+0.009427990108092699j),2561,2570
(-0.9948622196086662-0.0013123393069027888j),(-0.36532346169832797-2.913195335803706j),(-0.00044802231417776184-0.003574960856387157j),(-0.9948622196086662-0.0013123393069027888j),2561,2970
(-0.9948622196086662-0.0013123393069027888j),(-0.36532346169832797-2.913195335803706j),(-0.00044802231417776184-0.003574960856387157j),(-0.9948622196086662-0.0013123393069027888j),2561,2970
(-0.030314068923250108-0.027664140415855316j),(-0.02464330269743194-26.932186208727742j),(-2.8306360783987297e-05-0.0371246155697701j),(-0.030314068923250108-0.027664140415855316j),2570,2580
(-0.030314068923250108-0.027664140415855316j),(-0.02464330269743194-26.932186208727742j),(-2.8306360783987297e-05-0.0371246155697701j),(-0.030314068923250108-0.027664140415855316j),2570,2580
(0.21317230851763014+0.009357245576885135j),(0.07021235762801499+33.1568987279483j),(5.9350117630141284e-05+0.02879187525560255j),(0.21317230851763014+0.009357245576885135j),2580,2830
(0.21317230851763014+0.009357245576885135j),(0.07021235762801499+33.1568987279483j),(5.9350117630141284e-05+0.02879187525560255j),(0.21317230851763014+0.009357245576885135j),2580,2830
(-0.24340224411355582+0.042783070551458184j),(-0.4608441784666174+41.83172351794751j),(-0.00024960996724159956+0.022535546965501654j),(-0.24340224411355582+0.042783070551458184j),2691,2705
(-0.6430529389718501-0.022496153378324675j),(-1.4034761031103786-56.96841487017825j),(-0.0002538700330167609-0.010310016461921694j),(-0.6430529389718501-0.022496153378324675j),2705,2810
(-0.6430529389718501-0.022496153378324675j),(-1.4034761031103786-56.96841487017825j),(-0.0002538700330167609-0.010310016461921694j),(-0.6430529389718501-0.022496153378324675j),2705,2810
(0.049254328299051485+0.01129491357879521j),(0.051635923988369865+91.99982339973874j),(6.007353689170764e-06+0.010844606647523774j),(0.049254328299051485+0.01129491357879521j),2810,2815
(0.049254328299051485+0.01129491357879521j),(0.051635923988369865+91.99982339973874j),(6.007353689170764e-06+0.010844606647523774j),(0.049254328299051485+0.01129491357879521j),2810,2815
(-0.9999011575105163-0.00045891753670183584j),(-0.9382840889599235-1.1621283792764565j),(-0.00039484333007047207-0.0004890690553708883j),(-0.9999011575105163-0.00045891753670183584j),2815,2830
(-0.9999011575105163-0.00045891753670183584j),(-0.9382840889599235-1.1621283792764565j),(-0.00039484333007047207-0.0004890690553708883j),(-0.9999011575105163-0.00045891753670183584j),2815,2830
